108,Bình Lục,Huyện,"20 29 23N, 106 02 52E",24
109,Bình Long,Th? Xó,,15
110,Bình Minh,Huyện,"10 05 45N, 105 47 21E",61
111,Bình Sơn,Huyện,"15 18 45N, 108 45 35E",48
112,Bình Tân,Quận,"10 46 16N, 106 35 26E",29
113,Bình Tân,Huyện,,61
114,Bình Thạnh,Quận,"10 48 46N, 106 42 57E",29
115,Bình Thuỷ,Quận,"10 03 42N, 105 43 17E",20
116,Bình Xuyên,Huyện,"21 19 48N, 105 39 43E",62
117,Ba Đình,Quận,"21 02 08N, 105 49 38E",25
118,Ba Bể,Huyện,"22 23 54N, 105 43 30E",11
119,Ba Chẽ,Huyện,"21 15 40N, 107 09 52E",49
120,Ba Tơ,Huyện,"14 42 52N, 108 43 44E",48
121,Ba Tri,Huyện,"10 04 08N, 106 35 10E",17
122,Ba Vì,Huyện,"21 09 40N, 105 22 43E",25
123,Bố Trạch,Huyện,"17 29 13N, 106 06 54E",46
124,Bù Đăng,Huyện,"11 46 09N, 107 14 14E",15
125,Bù Đốp,Huyện,"11 59 08N, 106 49 54E",15
126,Bù Gia Mập,Huyện,"11 56 57N, 106 59 21E",15
127,Biên Hòa,Thành phố,"10 56 31N, 106 50 50E",4
128,Bỉm Sơn,Th? Xó,"20 05 21N, 105 51 48E",56
129,Bến Cát,Huyện,"11 12 42N, 106 36 28E",14
130,Bến Cầu,Huyện,"11 07 50N, 106 08 25E",53
131,Bến Lức,Huyện,"10 41 40N, 106 26 28E",39
132,Bến Tre,Thành phố,"10 14 17N, 106 22 26E",17
133,Buôn Đôn,Huyện,"12 52 45N, 107 45 20E",2
134,Buôn Hồ,Th? Xó,,2
135,Buôn Ma Thuột,Thành phố,"12 39 43N, 108 10 40E",2
136,Cô Tô,Huyện,"21 05 01N, 107 49 10E",49
137,Côn Đảo,Huyện,"8 42 25N, 106 36 05E",8
138,Cư Jút,Huyện,"12 40 56N, 107 44 44E",3
139,Cư Kuin,Huyện,,2
140,Cư M'gar,Huyện,"12 53 47N, 108 04 16E",2
141,Cà Mau,Thành phố,"9 10 33N, 105 11 11E",18
142,Càng Long,Huyện,"9 58 18N, 106 12 52E",59
143,Cái Bè,Huyện,"10 24 21N, 105 56 01E",58
144,Cái Nước,Huyện,"9 00 31N, 105 03 23E",18
145,Cái Răng,Quận,"9 59 57N, 105 46 56E",20
146,Cát Hải,Huyện,"20 47 09N, 106 58 07E",28
147,Cát Tiên,Huyện,"11 39 38N, 107 23 27E",35
148,Cai Lậy,Huyện,"10 24 20N, 106 06 05E",58
149,Cam Lâm,Huyện,,32
150,Cam Lộ,Huyện,"16 47 09N, 106 57 52E",50
151,Cam Ranh,Th? Xó,"11 59 05N, 108 08 17E",32
152,Cồn Cỏ,Huyện,"19 09 39N, 107 19 58E",50
153,Can Lộc,Huyện,"18 26 39N, 105 46 13E",26
154,Cao Bằng,Th? Xó,"22 39 20N, 106 15 20E",19
155,Cao Lãnh,Thành phố,"10 27 38N, 105 37 21E",5
156,Cao Lãnh,Huyện,"10 29 03N, 105 41 40E",5
157,Cao Lộc,Huyện,"21 53 05N, 106 50 34E",37
158,Cao Phong,Huyện,"20 41 23N, 105 17 48E",31
159,Cần Đước,Huyện,"10 32 21N, 106 36 33E",39
160,Cần Giờ,Huyện,"10 30 43N, 106 52 50E",29
161,Cần Giuộc,Huyện,"10 34 43N, 106 38 35E",39
162,Cầu Giấy,Quận,"21 01 52N, 105 47 20E",25
163,Cầu Kè,Huyện,"9 51 23N, 106 03 33E",59
164,Cầu Ngang,Huyện,"9 47 14N, 106 29 19E",59
165,Cờ Đỏ,Huyện,"10 02 48N, 105 29 46E",20
166,Cẩm Giàng,Huyện,"20 57 05N, 106 12 29E",27
167,Cẩm Khê,Huyện,"21 23 04N, 105 05 25E",44
168,Cẩm Lệ,Quận,,1
169,Cẩm Mỹ,Huyện,"10 47 05N, 107 14 36E",4
170,Cẩm Phả,Th? Xó,"21 03 42N, 107 17 22E",49
171,Cẩm Thủy,Huyện,"20 12 20N, 105 27 22E",56
172,Cẩm Xuyên,Huyện,"18 11 32N, 106 00 04E",26
173,Châu Đốc,Th? Xó,"10 41 20N, 105 05 15E",7
174,Châu Đức,Huyện,"10 39 23N, 107 15 08E",8
175,Châu Phú,Huyện,"10 34 12N, 105 12 13E",7
176,Châu Thành,Huyện,"10 25 39N, 105 15 31E",7
177,Châu Thành,Huyện,"9 57 37N, 105 10 16E",33
178,Châu Thành,Huyện,"10 13 27N, 105 48 38E",5
179,Châu Thành,Huyện,"9 52 57N, 106 24 12E",59
180,Châu Thành,Huyện,"10 27 52N, 106 30 00E",39
181,Châu Thành,Huyện,"20 25 21N, 106 16 57E",58
182,Châu Thành,Huyện,"10 17 24N, 106 17 45E",17
183,Châu Thành,Huyện,"9 55 22N, 105 48 37E",30
184,Châu Thành,Huyện,,52
185,Châu Thành,Huyện,"11 19 02N, 106 00 15E",53
186,Châu Thành A,Huyện,"9 55 50N, 105 38 31E",30
187,Chơn Thành,Huyện,"11 28 45N, 106 39 26E",15
188,Chư Păh,Huyện,"14 13 30N, 107 56 33E",21
189,Chư Pưh,Huyện,,21
190,Chư Prông,Huyện,"13 35 39N, 107 47 36E",21
191,Chư Sê,Huyện,"13 37 04N, 108 06 56E",21
192,Chương Mỹ,Huyện,"20 52 46N, 105 39 01E",25
193,Chợ Đồn,Huyện,"22 11 18N, 105 34 43E",11
194,Chợ Gạo,Huyện,"10 23 45N, 106 26 53E",58
195,Chi Lăng,Huyện,"21 40 05N, 106 37 24E",37
196,Chợ Lách,Huyện,"10 13 26N, 106 09 08E",17
197,Chợ Mới,Huyện,"10 27 23N, 105 26 57E",7
198,Chợ Mới,Huyện,"21 57 56N, 105 51 29E",11
199,Chiêm Hóa,Huyện,"22 12 49N, 105 14 32E",60
200,Chí Linh,Huyện,"21 07 47N, 106 23 46E",27
201,Cù Lao Dung,Huyện,"9 37 36N, 106 12 13E",52
202,Củ Chi,Huyện,"11 02 17N, 106 30 20E",29
203,Cửa Lò,Th? Xó,"18 47 26N, 105 43 31E",41
204,Con Cuông,Huyện,"19 03 50N, 107 47 15E",41
205,Dương Minh Châu,Huyện,"11 22 04N, 106 16 58E",53
206,Dầu Tiếng,Huyện,"11 19 07N, 106 26 59E",14
207,Di Linh,Huyện,"11 31 10N, 108 05 23E",35
208,Diên Khánh,Huyện,"12 13 19N, 109 02 16E",32
209,Diễn Châu,Huyện,"19 01 20N, 105 34 13E",41
210,Dĩ An,Huyện,"10 55 03N, 106 47 09E",14
211,Duy Tiên,Huyện,"20 37 33N, 105 58 01E",24
212,Duy Xuyên,Huyện,"15 47 58N, 108 13 27E",47
213,Duyên Hải,Huyện,"9 39 58N, 106 26 23E",59
214,Ea H'leo,Huyện,"13 13 52N, 108 12 30E",2
215,Ea Kar,Huyện,"12 48 17N, 108 32 42E",2
216,Ea Súp,Huyện,"13 10 59N, 107 46 49E",2
217,Giá Rai,Huyện,"9 15 51N, 105 23 18E",9
218,Gia Bình,Huyện,"21 03 55N, 106 12 53E",12
219,Gia Lâm,Huyện,"21 01 28N, 105 56 54E",25
220,Gia Lộc,Huyện,"20 51 01N, 106 17 34E",27
221,Gia Nghĩa,Thị xã,,3
222,Gia Viễn,Huyện,"20 19 50N, 105 52 20E",42
223,Giồng Giềng,Huyện,"9 56 05N, 105 22 06E",33
224,Giang Thành,Huyện,,33
225,Giồng Trôm,Huyện,"10 08 46N, 106 28 12E",17
226,Giao Thủy,Huyện,"20 14 45N, 106 28 39E",40
227,Gio Linh,Huyện,"16 54 49N, 106 56 16E",50
228,Gò Công,Th? Xó,"10 21 55N, 106 40 24E",58
229,Gò Công Đông,Huyện,"10 20 42N, 106 42 54E",58
230,Gò Công Tây,Huyện,"10 19 55N, 106 35 02E",58
231,Gò Dầu,Huyện,"11 09 39N, 106 14 42E",53
232,Gò Quao,Huyện,"9 43 17N, 105 17 06E",33
233,Gò Vấp,Quận,"10 50 12N, 106 39 52E",29
234,Hương Khê,Huyện,"18 11 36N, 105 41 24E",26
235,Hương Sơn,Huyện,"18 26 47N, 105 19 36E",26
236,Hương Thủy,Huyện,"16 19 27N, 107 37 26E",57
237,Hương Trà,Huyện,"16 25 49N, 107 28 37E",57
238,Hướng Hóa,Huyện,"16 42 19N, 106 40 14E",50
239,Hưng Hà,Huyện,"20 35 38N, 106 12 42E",54
240,Hưng Nguyên,Huyện,"18 41 13N, 105 37 41E",41
241,Hưng Yên,Thành phố,"20 39 38N, 106 03 08E",22
242,Hà Đông,Quận,"20 57 25N, 105 45 21E",25
243,Hà Giang,Thị xã,"22 46 23N, 105 02 39E",23
244,Hà Quảng,Huyện,"22 53 42N, 106 06 32E",19
245,Hà Tiên,Thị xã,"10 22 54N, 104 30 10E",33
246,Hà Trung,Huyện,"20 03 20N, 105 51 20E",56
247,Hà Tĩnh,Thành phố,"18 21 20N, 105 54 00E",26
248,Hàm Tân,Huyện,"10 44 41N, 107 41 33E",16
249,Hàm Thuận Bắc,Huyện,"11 09 18N, 108 03 07E",16
250,Hàm Thuận Nam,Huyện,"10 56 20N, 107 54 38E",16
251,Hàm Yên,Huyện,"22 05 46N, 105 00 13E",60
252,Hải An,Quận,"20 49 38N, 106 45 57E",28
253,Hải Châu,Quận,"16 03 38N, 108 11 46E",1
254,Hải Dương,Thành phố,"20 56 14N, 106 18 21E",27
255,Hải Hà,Huyện,"21 25 50N, 107 41 26E",49
256,Hải Hậu,Huyện,"20 06 26N, 106 16 29E",40
257,Hải Lăng,Huyện,"16 41 07N, 107 13 34E",50
258,Hạ Hoà,Huyện,"21 35 13N, 105 00 22E",44
259,Hạ Lang,Huyện,"22 42 37N, 106 41 42E",19
260,Hạ Long,Thành phố,"20 52 24N, 107 05 23E",49
261,Hữu Lũng,Huyện,"21 34 33N, 106 20 33E",37
262,Hóc Môn,Huyện,"10 52 42N, 106 35 33E",29
263,Hai Bà Trưng,Quận,"21 00 27N, 105 51 35E",25
264,Hồng Bàng,Quận,"20 52 37N, 106 38 32E",28
265,Hồng Dân,Huyện,"9 30 37N, 105 24 25E",9
266,Hồng Lĩnh,Thị xã,"18 32 05N, 105 42 40E",26
267,Hồng Ngự,Thị xã,,5
268,Hồng Ngự,Huyện,"10 48 13N, 105 19 00E",5
269,Hội An,Thành phố,"15 53 20N, 108 20 42E",47
270,Hậu Lộc,Huyện,"19 56 02N, 105 53 19E",56
271,Hớn Quản,Huyện,"11 37 37N, 106 36 02E",15
272,Hiệp Đức,Huyện,"15 31 09N, 108 05 56E",47
273,Hiệp Hòa,Huyện,"21 15 51N, 105 57 30E",10
274,Hoà An,Huyện,"22 41 20N, 106 02 05E",19
275,Hoà Bình,Huyện,,9
276,Hoà Vang,Huyện,"16 03 59N, 108 01 57E",1
277,Hoài Ân,Huyện,"14 20 51N, 108 54 04E",13
278,Hoài Đức,Huyện,"21 01 25N, 105 42 03E",25
279,Hoài Nhơn,Huyện,"14 30 56N, 109 01 56E",13
280,Hoàn Kiếm,Quận,"21 01 53N, 105 51 09E",25
281,Hoàng Mai,Quận,"20 58 33N, 105 51 22E",25
282,Hoàng Sa,Huyện,"16 21 36N, 111 57 01E",1
283,Hoàng Su Phì,Huyện,"22 41 37N, 104 40 06E",23
284,Hoành Bồ,Huyện,"21 06 30N, 107 02 43E",49
285,Hoằng Hóa,Huyện,"19 51 59N, 105 51 34E",56
286,Hoa Lư,Huyện,"20 15 04N, 105 55 52E",42
287,Hòa Bình,Thành phố,"20 50 36N, 105 19 20E",31
288,Hòa Thành,Huyện,"11 15 31N, 106 08 44E",53
289,Hòn Đất,Huyện,"10 14 20N, 104 55 57E",33
290,Huế,Thành phố,"16 27 16N, 107 34 29E",57
291,Ia Grai,Huyện,"13 59 25N, 107 43 16E",21
292,Ia Pa,Huyện,"13 31 37N, 108 30 34E",21
293,Kông Chro,Huyện,"13 45 47N, 108 36 04E",21
294,Kbang,Huyện,"14 18 08N, 108 29 17E",21
295,Khánh Sơn,Huyện,"12 02 17N, 108 53 47E",32
296,Khánh Vĩnh,Huyện,"12 17 50N, 108 51 56E",32
297,Khoái Châu,Huyện,"20 49 53N, 105 58 28E",22
298,Kiên Hải,Huyện,"9 48 31N, 104 37 48E",33
299,Kiên Lương,Huyện,"10 20 21N, 104 39 46E",33
300,Kim Động,Huyện,"20 44 47N, 106 01 47E",22
301,Kim Bôi,Huyện,"20 40 34N, 105 32 15E",31
302,Kim Bảng,Huyện,"20 34 19N, 105 50 41E",24
303,Kim Sơn,Huyện,"20 02 07N, 106 05 27E",42
304,Kim Thành,Huyện,"20 55 40N, 106 30 33E",27
305,Kinh Dương,Quận,,28
306,Kinh Môn,Huyện,"21 00 04N, 106 30 23E",27
307,Kiến An,Quận,"20 48 26N, 106 38 03E",28
308,Kiến Thụy,Huyện,"20 45 13N, 106 41 47E",28
309,Kiến Xương,Huyện,"20 23 52N, 106 25 22E",54
310,Kế Sách,Huyện,"9 49 30N, 105 57 25E",52
311,Kon Plông,Huyện,"14 48 13N, 108 20 05E",34
312,Kon Rẫy,Huyện,"14 32 56N, 108 13 09E",34
313,Kon Tum,Thành phố,"14 20 32N, 107 58 04E",34
314,Krông A Na,Huyện,"12 31 51N, 108 05 03E",2
315,Krông Bông,Huyện,"12 27 08N, 108 27 01E",2
316,Krông Búk,Huyện,"12 56 27N, 108 13 54E",2
317,Krông Năng,Huyện,"12 59 41N, 108 23 42E",2
318,Krông Nô,Huyện,"12 22 16N, 107 53 49E",3
319,Krông Pắc,Huyện,"12 41 20N, 108 18 42E",2
320,Krông Pa,Huyện,"13 14 13N, 108 39 12E",21
321,Kỳ Anh,Huyện,"18 05 15N, 106 15 49E",26
322,Kỳ Sơn,Huyện,"19 24 36N, 104 09 45E",41
323,Kỳ Sơn,Huyện,"20 54 06N, 105 23 18E",31
324,Lâm Hà,Huyện,"11 55 26N, 108 11 31E",35
325,Lâm Thao,Huyện,"21 19 37N, 105 18 09E",44
326,Lê Chân,Quận,"20 50 12N, 106 40 30E",28
327,Lương Sơn,Huyện,"20 53 16N, 105 30 55E",31
328,Lương Tài,Huyện,"21 01 33N, 106 13 28E",12
329,Lào Cai,Thành phố,"22 25 07N, 103 58 43E",36
330,Lạc Dương,Huyện,"12 08 30N, 108 27 48E",35
331,Lạc Sơn,Huyện,"20 29 59N, 105 24 57E",31
332,Lạc Thủy,Huyện,"20 29 12N, 105 44 06E",31
333,Lạng Giang,Huyện,"21 21 58N, 106 15 21E",10
334,Lạng Sơn,Thành phố,"21 51 19N, 106 44 50E",37
335,Lắk,Huyện,"12 19 20N, 108 12 17E",2
336,La Gi,Thị xã,,16
337,Lai Châu,Thị xã,"22 23 15N, 103 24 22E",38
338,Lai Vung,Huyện,"10 14 43N, 105 38 40E",5
339,Lang Chánh,Huyện,"20 08 58N, 105 07 40E",56
340,Lộc Bình,Huyện,"21 40 41N, 106 58 12E",37
341,Lộc Hà,Huyện,,26
342,Lộc Ninh,Huyện,"11 49 28N, 106 35 11E",15
343,Lập Thạch,Huyện,"21 24 45N, 105 25 39E",62
344,Lấp Vò,Huyện,"10 21 27N, 105 36 06E",5
345,Liên Chiểu,Quận,"16 07 26N, 108 07 04E",1
346,Lệ Thủy,Huyện,"17 07 35N, 106 41 47E",46
347,Lục Nam,Huyện,"21 18 16N, 106 29 24E",10
348,Lục Ngạn,Huyện,"21 26 15N, 106 39 09E",10
349,Lục Yên,Huyện,"22 06 44N, 104 43 12E",63
350,Long Điền,Huyện,"10 26 47N, 107 12 53E",8
351,Long Biên,Quận,"21 02 21N, 105 53 07E",25
352,Long Hồ,Huyện,"10 13 58N, 105 55 47E",61
353,Long Khánh,Thị xã,"10 56 24N, 107 14 29E",4
354,Long Mỹ,Huyện,"9 40 47N, 105 30 53E",30
355,Long Phú,Huyện,"9 34 38N, 106 06 07E",52
356,Long Thành,Huyện,"10 47 38N, 106 59 42E",4
357,Long Xuyên,Thành phố,"10 22 22N, 105 25 33E",7
358,Lý Nhân,Huyện,"20 32 55N, 106 04 48E",24
359,Lý Sơn,Huyện,"15 22 50N, 109 06 56E",48
360,M'đrắk,Huyện,"12 42 14N, 108 47 09E",2
361,Mê Linh,Huyện,"21 10 53N, 105 42 05E",25
362,Mường ảng,Huyện,,6
363,Mường Chà,Huyện,"21 50 31N, 103 03 15E",6
364,Mường Khương,Huyện,"22 41 05N, 104 08 26E",36
365,Mường Lát,Huyện,"20 30 42N, 104 37 27E",56
366,Mường La,Huyện,"21 31 38N, 104 02 48E",51
367,Mường Lay,Thị xã,"22 01 47N, 103 07 10E",6
368,Mường Nhé,Huyện,"22 06 11N, 102 30 54E",6
369,Mường Tè,Huyện,"22 24 16N, 102 43 11E",38
370,Mỏ Cày Bắc,Huyện,,17
371,Mỏ Cày Nam,Huyện,"10 06 56N, 106 19 40E",17
372,Mai Châu,Huyện,"20 40 56N, 104 59 46E",31
373,Mai Sơn,Huyện,"21 10 08N, 103 59 36E",51
374,Móng Cái,Thành phố,"21 26 31N, 107 55 09E",49
375,Mang Thít,Huyện,"10 10 58N, 106 05 13E",61
376,Mang Yang,Huyện,"13 57 26N, 108 18 37E",21
377,Mộ Đức,Huyện,"11 59 13N, 108 52 21E",48
378,Mộc Châu,Huyện,"20 49 21N, 104 43 10E",51
379,Mộc Hóa,Huyện,"10 47 09N, 105 57 56E",39
380,Mù Cang Chải,Huyện,"21 48 22N, 104 09 01E",63
381,Minh Hóa,Huyện,"17 44 03N, 105 51 45E",46
382,Minh Long,Huyện,"14 56 49N, 108 40 19E",48
383,Mèo Vạc,Huyện,"23 09 10N, 105 26 38E",23
384,Mỹ Đức,Huyện,"20 41 53N, 105 43 31E",25
385,Mỹ Hào,Huyện,"20 55 35N, 106 05 34E",22
386,Mỹ Lộc,Huyện,"20 27 21N, 106 07 56E",40
387,Mỹ Tho,Thành phố,"10 22 14N, 106 21 52E",58
388,Mỹ Tú,Huyện,"9 38 21N, 105 49 52E",52
389,Mỹ Xuyên,Huyện,"9 28 16N, 105 55 51E",52
390,Năm Căn,Huyện,"8 46 59N, 104 58 20E",18
391,Nông Cống,Huyện,"19 36 58N, 105 40 54E",56
392,Nông Sơn,Huyện,,47
393,Nà Hang,Huyện,"22 28 34N, 105 21 03E",60
394,Na Rì,Huyện,"22 09 48N, 106 05 09E",11
395,Nam Đông,Huyện,"16 07 11N, 107 41 25E",57
396,Nam Đàn,Huyện,"18 40 28N, 105 30 32E",41
397,Nam Định,Thành phố,"20 25 07N, 106 09 54E",40
398,Nam Giang,Huyện,"15 36 37N, 107 33 52E",47
399,Nam Sách,Huyện,"21 00 15N, 106 20 26E",27
400,Nam Trà My,Huyện,"15 16 40N, 108 12 15E",47
401,Nam Trực,Huyện,"20 20 08N, 106 12 54E",40
402,Ngân Sơn,Huyện,"22 25 50N, 106 01 00E",11
403,Ngô Quyền,Quận,"20 51 13N, 106 41 57E",28
404,Ngã Bảy,Thị xã,,30
405,Ngã Năm,Huyện,"9 31 38N, 105 37 22E",52
406,Nga Sơn,Huyện,"20 00 16N, 105 59 26E",56
407,Ngọc Hồi,Huyện,"14 44 23N, 107 38 49E",34
408,Ngọc Hiển,Huyện,"8 40 47N, 104 57 58E",18
409,Ngọc Lặc,Huyện,"20 04 08N, 105 22 39E",56
410,Nghi Lộc,Huyện,"18 47 41N, 105 31 30E",41
411,Nghi Xuân,Huyện,"18 38 46N, 105 46 17E",26
412,Nghĩa Đàn,Huyện,"19 21 19N, 105 26 33E",41
413,Nghĩa Hưng,Huyện,"20 05 37N, 106 08 59E",40
414,Nghĩa Hành,Huyện,"14 58 06N, 108 46 05E",48
415,Nghĩa Lộ,Thị xã,"21 35 58N, 104 29 22E",63
416,Ngũ Hành Sơn,Quận,"16 00 30N, 108 15 09E",1
417,Nguyên Bình,Huyện,"22 38 52N, 105 57 02E",19
418,Nhơn Trạch,Huyện,"10 39 18N, 106 53 18E",4
419,Như Thanh,Huyện,"19 35 19N, 105 33 09E",56
420,Như Xuân,Huyện,"19 5 55N, 105 20 22E",56
421,Nhà Bè,Huyện,"10 39 06N, 106 43 35E",29
422,Nha Trang,Thành phố,"12 15 40N, 109 10 40E",32
423,Nho Quan,Huyện,"20 18 46N, 105 42 48E",42
424,Ninh Bình,Thành phố,"20 14 45N, 105 58 24E",42
425,Ninh Giang,Huyện,"20 45 13N, 106 20 09E",27
426,Ninh Hải,Huyện,"11 42 46N, 109 05 41E",43
427,Ninh Hòa,Huyện,"12 32 54N, 109 06 11E",32
428,Ninh Kiều,Quận,"10 01 58N, 105 45 34E",20
429,Ninh Phước,Huyện,"11 28 56N, 108 50 34E",43
430,Ninh Sơn,Huyện,"11 42 36N, 108 44 55E",43
431,Núi Thành,Huyện,"15 26 53N, 108 34 49E",47
432,ứng Hòa,Huyện,"20 42 41N, 105 47 58E",25
433,Pác Nặm,Huyện,"22 35 46N, 105 40 25E",11
434,Phước Long,Th? Xó,,15
435,Phước Long,Huyện,"9 23 13N, 105 24 41E",9
